id,stock_code,stock_name,report_quarter,report_year,report_date,quarter_revenue,quarter_net_profit,quarter_deducted_net_profit,revenue_yoy,net_profit_yoy,deducted_net_profit_yoy,basic_eps,eps_yoy,bps,roe,gross_margin,ttm_revenue,ttm_net_profit,created_at
mm3mcmeiko8g3qkvy,603799,华友钴业,2023Q1,2023,2023-03-31,19110269458.36,1024101139.05,995692886.87,44.6434918679,-15.1,-16.32,0.64,-15.79,16.060159273105,3.08,16.2174601483,174924824344.52997,12334081490.29,2026-02-26T15:29:20.490Z
mm3mcmeio0g1x2xbj,603799,华友钴业,2023Q2,2023,2023-06-30,33345537519.76,2085104942.66,1839200954.15,7.5027739514,-7.56,-16.11,1.32,-6.38,16.968734695131,7.63,14.9142162378,174924824344.52997,12334081490.29,2026-02-26T15:29:20.490Z
mm3mcmeibjtgwbywt,603799,华友钴业,2023Q3,2023,2023-09-30,51091095666.88,3013180644.02,2726354418.56,4.8840714323,0.18,-6.6,1.88,-1.57,18.775382093764,10.51,14.8898590456,174924824344.52997,12334081490.29,2026-02-26T15:29:20.490Z
mm3mcmeirpp6ewg6w,603799,华友钴业,2023Q4,2023,2023-12-31,66304047529.81,3350891340.06,3092830789.9,5.1881098436,-14.25,-22.25,2.05,-17.34,19.173146832869,11.14,14.1096578785,174924824344.52997,12334081490.29,2026-02-26T15:29:20.490Z
mm3mcmeiydoi13f3s,603799,华友钴业,2024Q1,2024,2024-03-31,14962649257.31,522415394.16,567830428.67,-21.7036196695,-48.99,-42.97,0.33,-48.44,19.691345660842,1.51,12.0960771237,174924824344.52997,12334081490.29,2026-02-26T15:29:20.490Z
mm3mcmei2lefr5ojs,603799,华友钴业,2024Q2,2024,2024-06-30,30050314564.41,1670732131.17,1751932466.61,-9.8820507943,-19.87,-4.74,1,-24.24,19.477715591587,4.74,16.4288800524,174924824344.52997,12334081490.29,2026-02-26T15:29:20.490Z
mm3mcmeie7xx810su,603799,华友钴业,2024Q3,2024,2024-09-30,45488186407.32,3020370672.11,3041427701,-10.9665083248,0.24,11.56,1.8,-4.26,20.147474456748,8.57,17.5338844505,174924824344.52997,12334081490.29,2026-02-26T15:29:20.490Z
mm3mcmei236es9dhu,603799,华友钴业,2024Q4,2024,2024-12-31,60945563720.14,4154825193.75,3795092102.46,-8.0816843154,23.99,22.71,2.5,21.95,20.952619464199,11.69,17.2283035942,174924824344.52997,12334081490.29,2026-02-26T15:29:20.490Z
mm3mcmei3o5pgvmhb,603799,华友钴业,2025Q1,2025,2025-03-31,17841985369.46,1252109041.28,1226823619.76,19.2434913272,139.68,116.05,0.74,124.24,21.732910233055,3.32,14.8813330782,174924824344.52997,12334081490.29,2026-02-26T15:29:20.490Z
mm3mcmei15qc0ti42,603799,华友钴业,2025Q2,2025,2025-06-30,37196514112.78,2710936108.53,2587193981.43,23.780781173,62.26,47.68,1.61,61,22.09226618195,7.05,15.8623942375,174924824344.52997,12334081490.29,2026-02-26T15:29:20.490Z
mm3mcmeijfxz1ogrr,603799,华友钴业,2025Q3,2025,2025-09-30,58940761142.15,4216211146.73,4012306195.88,29.573776836,39.59,31.92,2.49,38.33,25.156289856511,10.79,16.1772207491,174924824344.52997,12334081490.29,2026-02-26T15:29:20.490Z
mm3mcn9tmgffq5ovv,301392,汇成真空,2018Q4,2018,2018-12-31,326320183.69,23215343.56,34712331.46,0,0,,0.34,,28.029555031217,23.65,29.3946893402,1184467307.02,136711931.85,2026-02-26T15:29:21.617Z
mm3mcn9tvytzebhy3,301392,汇成真空,2019Q4,2019,2019-12-31,295412049.56,22320187.89,23332892.29,-9.4717200084,-3.8558794863,-32.78,0.3,-11.76,2.714879728667,11.55,30.3415574089,1184467307.02,136711931.85,2026-02-26T15:29:21.617Z
mm3mcn9thwsb3snc5,301392,汇成真空,2020Q3,2020,2020-09-30,279857700,35149100,27672100,0,0,,0,,0,0,0,1184467307.02,136711931.85,2026-02-26T15:29:21.617Z
mm3mcn9t14saj7gyq,301392,汇成真空,2020Q4,2020,2020-12-31,392395390.05,55034546.73,46770808.01,32.8298526192,146.5684742495,100.45,0.73,143.33,3.413767429867,23.88,28.6499572219,1184467307.02,136711931.85,2026-02-26T15:29:21.617Z
mm3mcn9tcpawacm0k,301392,汇成真空,2021Q2,2021,2021-06-30,243459531.85,31063051.93,30748836.35,0,0,,0.41,,3.827941455733,11.44,29.7331293459,1184467307.02,136711931.85,2026-02-26T15:29:21.617Z
mm3mcn9t61fwj9gjl,301392,汇成真空,2021Q3,2021,2021-09-30,387851000,51867900,51286500,38.588647016,47.5653715173,85.34,0,,0,0,0,1184467307.02,136711931.85,2026-02-26T15:29:21.617Z
mm3mcn9td97rlgz1o,301392,汇成真空,2021Q4,2021,2021-12-31,534160704.44,71448277.03,70414160.01,36.1281803978,29.8244126195,50.55,0.95,30.14,4.114487406933,24.61,31.3527707107,1184467307.02,136711931.85,2026-02-26T15:29:21.617Z
mm3mcn9to8648tm8x,301392,汇成真空,2022Q2,2022,2022-06-30,306773410.93,30992265.52,46294714.69,26.0059150689,-0.2278797658,50.56,0.41,,4.417560418267,9.56,31.2068350219,1184467307.02,136711931.85,2026-02-26T15:29:21.617Z
mm3mcn9t2uqorcr9x,301392,汇成真空,2022Q4,2022,2022-12-31,570792716.22,71290421.07,84030674.27,6.8578634623,-0.2209373921,19.34,0.95,,4.954869158933,20.71,30.985877942,1184467307.02,136711931.85,2026-02-26T15:29:21.617Z
mm3mcn9tyjcuidter,301392,汇成真空,2023Q1,2023,2023-03-31,70841646.63,6521915.55,6168255.41,0,0,,0,,0,1.74,37.8518076521,1184467307.02,136711931.85,2026-02-26T15:29:21.617Z
mm3mcn9tjk288ayk1,301392,汇成真空,2023Q2,2023,2023-06-30,249878696.46,43856534.59,38827131.9,-18.5461687496,41.5079983801,-16.13,0.58,41.46,5.539622953467,11.14,37.3850293616,1184467307.02,136711931.85,2026-02-26T15:29:21.617Z
mm3mcn9tvoegvrywz,301392,汇成真空,2023Q3,2023,2023-09-30,388416951.45,52726486.9,,0,0,,0.7,,0,0,32.8957960596,1184467307.02,136711931.85,2026-02-26T15:29:21.617Z
mm3mcn9tcrg812v2j,301392,汇成真空,2023Q4,2023,2023-12-31,522114408.08,81075481.46,74777904.94,-8.5281936431,13.7256313585,-11.01,1.08,13.68,6.0358755784,19.67,32.5095716615,1184467307.02,136711931.85,2026-02-26T15:29:21.617Z
mm3mcn9tu81135sjs,301392,汇成真空,2024Q1,2024,2024-03-31,71703899.62,10119067.14,7431717.27,1.2171554884,55.15,20.48,0.1349,,6.1707964736,2.21,36.0404932325,1184467307.02,136711931.85,2026-02-26T15:29:21.617Z
mm3mcn9twikb4p4ib,301392,汇成真空,2024Q2,2024,2024-06-30,291300630.41,59084000.93,55634517.01,16.5768168863,34.72,43.29,0.75,29.31,7.5350167528,11.31,36.0745514529,1184467307.02,136711931.85,2026-02-26T15:29:21.617Z
mm3mcn9t9879vkhyz,301392,汇成真空,2024Q3,2024,2024-09-30,431096584.28,64488309.34,50866072.13,10.9880973708,22.31,,0.77,10,7.3390598369,13.07,32.0567960915,1184467307.02,136711931.85,2026-02-26T15:29:21.617Z
mm3mcn9tps1lrh0v9,301392,汇成真空,2024Q4,2024,2024-12-31,520300510.27,68090947.27,62477469.21,-0.3474138583,-16.02,-16.45,0.76,-29.63,7.3750862162,10.96,31.7417658123,1184467307.02,136711931.85,2026-02-26T15:29:21.617Z
mm3mcn9txk6i91iy1,301392,汇成真空,2025Q1,2025,2025-03-31,97390454.01,8321828.65,8369416.82,35.8230926437,-17.76,12.62,0.0832,-38.32,7.4583045028,1.12,25.8910971782,1184467307.02,136711931.85,2026-02-26T15:29:21.617Z
mm3mcn9tkjdiiwwbn,301392,汇成真空,2025Q2,2025,2025-06-30,263019244.17,42644331.05,42515946.93,-9.7086594698,-27.82,-23.58,0.43,-42.67,7.6015295268,5.64,31.072522027,1184467307.02,136711931.85,2026-02-26T15:29:21.617Z
mm3mcn9tqw2s0o7rb,301392,汇成真空,2025Q3,2025,2025-09-30,303757098.57,17654824.88,17360185.9,-29.538504909,-72.62,-65.87,0.18,-76.62,7.2516344651,2.39,25.5160027749,1184467307.02,136711931.85,2026-02-26T15:29:21.617Z
mm3mco4vddgena6cx,600764,中国海防,2020Q4,2020,2020-12-31,4669646918.06,747971201.63,718561738.67,14.6216727382,15.72,,1.0724,,9.609772017956,12.01,33.7268689609,6994155317.66,508043969.4599999,2026-02-26T15:29:22.735Z
