id,stock_code,stock_name,trade_date,is_open,open,close,high,low,volume,amount,float_cap,turnover_rate,pe_ttm,pb,created_at
mm1lw4xaqw2jhfd3w,301269,华大九天,2026-02-04,1,98.89,97.98,98.90,96.44,4650100,455616798,55744000000,0.82,,,2026-02-25T05:40:58.990Z
mm1lw4xawd2qm74bw,301269,华大九天,2026-02-05,1,97.01,98.15,98.93,97.01,3716900,364813735,55744000000,0.65,,,2026-02-25T05:40:58.990Z
mm1lw4xal2mk9l0tn,301269,华大九天,2026-02-06,1,97.51,97.25,98.55,96.89,3789300,368509425,55744000000,0.66,,,2026-02-25T05:40:58.990Z
mm1lw4xaui422qq3m,301269,华大九天,2026-02-09,1,98.25,98.99,99.40,97.51,3980100,393990099,55744000000,0.71,,,2026-02-25T05:40:58.990Z
mm1lw4xabi5jlpx35,301269,华大九天,2026-02-10,1,99.00,99.47,99.98,98.48,3250400,323317288,55744000000,0.58,,,2026-02-25T05:40:58.990Z
mm1lw4xaa464a1r8z,301269,华大九天,2026-02-11,1,99.55,100.14,100.50,98.96,3105500,310984770,55744000000,0.56,,,2026-02-25T05:40:58.990Z
mm1lw4xa0gqx3i9co,301269,华大九天,2026-02-12,1,100.30,102.30,103.87,99.22,5164500,528328350,55744000000,0.95,,,2026-02-25T05:40:58.990Z
mm1lw4xa9iuajogxw,301269,华大九天,2026-02-13,1,101.50,105.63,106.80,101.31,7504100,792658083,55744000000,1.42,,,2026-02-25T05:40:58.990Z
mm1lw4xabwovn8zlr,301269,华大九天,2026-02-24,1,104.90,102.60,105.60,101.88,5384000,552398400,55744000000,0.99,,,2026-02-25T05:40:58.990Z
mm25qtz45jdvjh40l,301269,华大九天,2026-02-25,1,102.480,102.200,102.990,101.220,3558400,363668480,55744000000,0.65,,,2026-02-25T14:56:43.840Z
mm1lw5d48n1xr03r7,300567,精测电子,2026-02-04,1,127.27,130.15,134.10,126.00,14049200,1828503380,43361000000,4.22,,,2026-02-25T05:40:59.560Z
mm1lw5d4bz6extuap,300567,精测电子,2026-02-05,1,128.66,130.54,132.32,123.87,12612400,1646422696,43361000000,3.80,,,2026-02-25T05:40:59.560Z
mm1lw5d497nltmzet,300567,精测电子,2026-02-06,1,128.00,126.16,131.60,126.00,10136400,1278808224,43361000000,2.95,,,2026-02-25T05:40:59.560Z
mm1lw5d4s9zmzxi8f,300567,精测电子,2026-02-09,1,131.00,133.38,135.22,126.51,15461600,2062268208,43361000000,4.76,,,2026-02-25T05:40:59.560Z
mm1lw5d43htmfjc2q,300567,精测电子,2026-02-10,1,135.64,131.55,136.00,127.01,11455500,1506971025,43361000000,3.48,,,2026-02-25T05:40:59.560Z
mm1lw5d4vze9gum18,300567,精测电子,2026-02-11,1,132.00,132.11,136.36,129.49,10353700,1367827307,43361000000,3.15,,,2026-02-25T05:40:59.560Z
mm1lw5d41owufifge,300567,精测电子,2026-02-12,1,134.75,132.58,135.42,130.10,9214700,1221684926,43361000000,2.82,,,2026-02-25T05:40:59.560Z
mm1lw5d4dd1op4428,300567,精测电子,2026-02-13,1,132.24,141.13,148.19,130.92,16417500,2317001775,43361000000,5.34,,,2026-02-25T05:40:59.560Z
mm1lw5d4gifkxgent,300567,精测电子,2026-02-24,1,141.00,135.40,141.50,132.24,14867000,2012991800,43361000000,4.64,,,2026-02-25T05:40:59.560Z
mm25quhbn5shdvoi3,300567,精测电子,2026-02-25,1,137.830,155.000,159.000,135.080,18679600,2895338000,43361000000,6.68,,,2026-02-25T14:56:44.495Z
mm1lw5sillwzemwof,688981,中芯国际,2026-02-04,1,114.50,114.84,114.99,113.15,35139300,4035397212,929100000000,0.43,,,2026-02-25T05:41:00.114Z
mm1lw5si8o6ywhufq,688981,中芯国际,2026-02-05,1,112.99,111.80,114.50,110.39,44644800,4991288640,929100000000,0.54,,,2026-02-25T05:41:00.114Z
mm1lw5sicl1k82uhk,688981,中芯国际,2026-02-06,1,110.14,112.70,114.60,110.14,40822700,4600718290,929100000000,0.50,,,2026-02-25T05:41:00.114Z
mm1lw5sih9zpemxoc,688981,中芯国际,2026-02-09,1,114.80,114.93,115.07,113.70,32101800,3689459874,929100000000,0.40,,,2026-02-25T05:41:00.114Z
mm1lw5sipounlja3p,688981,中芯国际,2026-02-10,1,115.20,116.20,116.90,114.85,34043700,3955877940,929100000000,0.43,,,2026-02-25T05:41:00.114Z
mm1lw5sid75xobubn,688981,中芯国际,2026-02-11,1,114.00,115.01,116.14,113.50,34533700,3971720837,929100000000,0.43,,,2026-02-25T05:41:00.114Z
mm1lw5si7qinw257w,688981,中芯国际,2026-02-12,1,115.55,116.58,117.18,115.11,33362300,3889376934,929100000000,0.42,,,2026-02-25T05:41:00.114Z
mm1lw5siqq5qdqrso,688981,中芯国际,2026-02-13,1,116.23,116.93,117.98,115.56,34368700,4018732091,929100000000,0.43,,,2026-02-25T05:41:00.114Z
mm1lw5sifvcfjoqf4,688981,中芯国际,2026-02-24,1,118.03,115.82,118.18,115.62,27615600,3198438792,929100000000,0.34,,,2026-02-25T05:41:00.114Z
mm25quzl2xgljcv37,688981,中芯国际,2026-02-25,1,117.000,116.130,117.500,115.850,27552856,3199713167,929100000000,0.34,,,2026-02-25T14:56:45.153Z
mm1lwcqc77ua5rf8w,603039,泛微网络,2026-02-04,1,63.60,57.29,64.00,57.29,8551800,489932622,12402000000,3.95,,,2026-02-25T05:41:09.108Z
mm1lwcqcsfo9jjo71,603039,泛微网络,2026-02-05,1,55.89,54.64,56.88,53.71,9459400,516861616,12402000000,4.17,,,2026-02-25T05:41:09.108Z
mm1lwcqcaagkg75a0,603039,泛微网络,2026-02-06,1,54.00,52.40,54.30,52.32,5460800,286145920,12402000000,2.31,,,2026-02-25T05:41:09.108Z
mm1lwcqc8wsy9xcob,603039,泛微网络,2026-02-09,1,53.13,52.10,53.66,52.00,10218500,532383850,12402000000,4.29,,,2026-02-25T05:41:09.108Z
mm1lwcqcz3u8i3xjf,603039,泛微网络,2026-02-10,1,52.22,51.59,52.28,51.19,6041000,311655190,12402000000,2.51,,,2026-02-25T05:41:09.108Z
mm1lwcqcmk0nmou8c,603039,泛微网络,2026-02-11,1,51.58,50.70,51.78,50.33,5936400,300975480,12402000000,2.43,,,2026-02-25T05:41:09.108Z
mm1lwcqcqkl0g077o,603039,泛微网络,2026-02-12,1,50.57,50.80,51.17,50.03,6022500,305943000,12402000000,2.47,,,2026-02-25T05:41:09.108Z
mm1lwcqcs0oyenndf,603039,泛微网络,2026-02-13,1,50.60,50.19,51.86,50.12,6523700,327424503,12402000000,2.64,,,2026-02-25T05:41:09.108Z
mm1lwcqch6cc90xlf,603039,泛微网络,2026-02-24,1,50.34,48.37,50.51,48.20,9093200,439838084,12402000000,3.55,,,2026-02-25T05:41:09.108Z
mm25r22kk5wttrhpe,603039,泛微网络,2026-02-25,1,48.480,47.590,48.600,46.720,10411400,495478526,12402000000,4.00,,,2026-02-25T14:56:54.331Z
mm1lwd5f93ayybshi,300459,汤姆猫,2026-02-04,1,5.04,4.99,5.09,4.91,1484669,7408498,17474000000,0.04,,,2026-02-25T05:41:09.651Z
mm1lwd5fb9mjgia3s,300459,汤姆猫,2026-02-05,1,4.95,4.97,5.02,4.93,1130113,5616662,17474000000,0.03,,,2026-02-25T05:41:09.651Z
mm1lwd5f106ybmm9y,300459,汤姆猫,2026-02-06,1,4.94,4.91,5.00,4.81,1214130,5961378,17474000000,0.03,,,2026-02-25T05:41:09.651Z
mm1lwd5f806fbqkdw,300459,汤姆猫,2026-02-09,1,5.00,5.14,5.15,5.00,2015570,10360030,17474000000,0.06,,,2026-02-25T05:41:09.651Z
mm1lwd5fllwxfh8sf,300459,汤姆猫,2026-02-10,1,5.17,5.34,5.45,5.10,3711816,19821097,17474000000,0.11,,,2026-02-25T05:41:09.651Z
mm1lwd5fr42f7z1qe,300459,汤姆猫,2026-02-11,1,5.32,5.20,5.37,5.18,2337604,12155541,17474000000,0.07,,,2026-02-25T05:41:09.651Z
mm1lwd5ffkyyfi8xt,300459,汤姆猫,2026-02-12,1,5.20,5.16,5.23,5.07,1805201,9314837,17474000000,0.05,,,2026-02-25T05:41:09.651Z
mm1lwd5fzde00k55i,300459,汤姆猫,2026-02-13,1,5.14,5.02,5.20,5.02,1515602,7608322,17474000000,0.04,,,2026-02-25T05:41:09.651Z
mm1lwd5f13sfocs15,300459,汤姆猫,2026-02-24,1,5.12,4.98,5.14,4.96,1269820,6323704,17474000000,0.04,,,2026-02-25T05:41:09.651Z
mm25r2kr1xjwx5qau,300459,汤姆猫,2026-02-25,1,4.980,4.970,5.020,4.940,1202135,5974611,17474000000,0.03,,,2026-02-25T14:56:54.987Z
mm1lwdksn08mcxv6x,300170,汉得信息,2026-02-04,1,26.85,25.38,27.15,24.85,1532230,38887997,23399000000,0.17,,,2026-02-25T05:41:10.204Z
mm1lwdksrjmuugm48,300170,汉得信息,2026-02-05,1,24.50,24.68,25.19,24.40,84130700,2076345676,23399000000,8.87,,,2026-02-25T05:41:10.204Z
mm1lwdksgw9ucl16v,300170,汉得信息,2026-02-06,1,24.29,24.06,24.56,23.50,81102100,1951316526,23399000000,8.34,,,2026-02-25T05:41:10.204Z
mm1lwdksd0jr9s9lx,300170,汉得信息,2026-02-09,1,24.69,24.93,25.24,23.93,85921400,2142020502,23399000000,9.15,,,2026-02-25T05:41:10.204Z
mm1lwdksffybws61v,300170,汉得信息,2026-02-10,1,25.20,25.22,25.43,24.27,1035747,26121539,23399000000,0.11,,,2026-02-25T05:41:10.204Z
mm1lwdksaz4hv4pgx,300170,汉得信息,2026-02-11,1,25.00,24.78,25.56,24.75,59412700,1472246706,23399000000,6.29,,,2026-02-25T05:41:10.204Z
mm1lwdksj5dm1roie,300170,汉得信息,2026-02-12,1,24.81,25.48,25.79,24.50,1019315,25972146,23399000000,0.11,,,2026-02-25T05:41:10.204Z
mm1lwdktlyyjc61xe,300170,汉得信息,2026-02-13,1,25.07,24.58,25.93,24.58,87135700,2141795506,23399000000,9.15,,,2026-02-25T05:41:10.204Z
mm1lwdktaqf9ps419,300170,汉得信息,2026-02-24,1,24.68,23.15,24.70,22.90,1065159,24658431,23399000000,0.11,,,2026-02-25T05:41:10.204Z
mm25r32ygr4g3y5ra,300170,汉得信息,2026-02-25,1,23.480,22.890,23.490,22.660,73690800,1686782412,23399000000,7.21,,,2026-02-25T14:56:55.642Z
mm1lwe09sd3yxwld5,688041,海光信息,2026-02-04,1,248.24,244.00,248.70,240.52,16734600,4083242400,572903000000,0.71,,,2026-02-25T05:41:10.761Z
mm1lwe09aexn04tep,688041,海光信息,2026-02-05,1,238.84,238.17,242.81,236.82,15873000,3780472410,572903000000,0.66,,,2026-02-25T05:41:10.761Z
mm1lwe09rl0fkigef,688041,海光信息,2026-02-06,1,235.80,242.68,247.54,232.58,20362800,4941644304,572903000000,0.86,,,2026-02-25T05:41:10.761Z
mm1lwe09wz261d8uo,688041,海光信息,2026-02-09,1,251.00,250.11,253.33,244.51,19270800,4819819788,572903000000,0.84,,,2026-02-25T05:41:10.761Z
mm1lwe09ed0usz836,688041,海光信息,2026-02-10,1,254.87,259.00,269.50,254.00,28203400,7304680600,572903000000,1.28,,,2026-02-25T05:41:10.761Z
mm1lwe099adtc7w5j,688041,海光信息,2026-02-11,1,255.00,255.00,258.33,251.37,13184300,3361996500,572903000000,0.59,,,2026-02-25T05:41:10.761Z
mm1lwe09niiao152q,688041,海光信息,2026-02-12,1,260.00,262.34,264.99,257.01,18394800,4825691832,572903000000,0.84,,,2026-02-25T05:41:10.761Z
mm1lwe09idmee560g,688041,海光信息,2026-02-13,1,260.00,259.06,265.69,258.02,15320800,3969006448,572903000000,0.69,,,2026-02-25T05:41:10.761Z
mm1lwe0931657r8u7,688041,海光信息,2026-02-24,1,266.83,248.14,268.00,247.77,21386700,5306895738,572903000000,0.93,,,2026-02-25T05:41:10.761Z
mm25r3lnhnguri0c6,688041,海光信息,2026-02-25,1,250.000,246.480,252.330,245.180,15989549,3941104038,572903000000,0.69,,,2026-02-25T14:56:56.315Z
mm1lwefk4l6cvgcdv,300750,宁德时代,2026-02-04,1,350.96,365.03,366.65,347.51,48531700,17715526451,1652938000000,1.07,,,2026-02-25T05:41:11.312Z
mm1lwefkhll9eck4e,300750,宁德时代,2026-02-05,1,365.77,362.94,366.75,356.02,28427200,10317367968,1652938000000,0.62,,,2026-02-25T05:41:11.312Z
mm1lwefkdd3lftedf,300750,宁德时代,2026-02-06,1,359.32,369.11,372.88,358.01,39372600,14532820386,1652938000000,0.88,,,2026-02-25T05:41:11.312Z
mm1lwefkj0heuw9nh,300750,宁德时代,2026-02-09,1,370.50,368.82,372.50,362.60,27448600,10123592652,1652938000000,0.61,,,2026-02-25T05:41:11.312Z
mm1lwefkfhtvc5s0f,300750,宁德时代,2026-02-10,1,365.17,364.97,370.80,364.00,18563500,6775120595,1652938000000,0.41,,,2026-02-25T05:41:11.312Z
mm1lwefkdat38b0xo,300750,宁德时代,2026-02-11,1,366.90,368.00,370.99,364.50,19653500,7232488000,1652938000000,0.44,,,2026-02-25T05:41:11.312Z
mm1lwefk6t1z7cutn,300750,宁德时代,2026-02-12,1,370.00,375.87,377.88,368.03,27754600,10432121502,1652938000000,0.63,,,2026-02-25T05:41:11.312Z
mm1lwefkek74fx8ij,300750,宁德时代,2026-02-13,1,375.61,365.34,377.00,365.01,22314500,8152379430,1652938000000,0.49,,,2026-02-25T05:41:11.312Z
mm1lwefkgvpr5hces,300750,宁德时代,2026-02-24,1,372.64,361.95,373.50,361.95,22695100,8214491445,1652938000000,0.50,,,2026-02-25T05:41:11.312Z
