id,stock_code,stock_name,trade_date,is_open,open,close,high,low,volume,created_at
mm1m2xpfurtupu9eu,002315,焦点科技,2026-01-28,1,53.500,52.080,54.070,51.920,95618.000,2026-02-25T05:46:16.227Z
mm1m2xpfzya637reu,002315,焦点科技,2026-01-29,1,51.650,52.740,55.450,51.110,141155.000,2026-02-25T05:46:16.227Z
mm1m2xpfwhl1rm5s7,002315,焦点科技,2026-01-30,1,52.300,51.950,52.430,50.710,85956.000,2026-02-25T05:46:16.227Z
mm1m2xpfo72pezsqy,002315,焦点科技,2026-02-02,1,51.590,50.050,52.590,50.000,63809.000,2026-02-25T05:46:16.227Z
mm1m2xpfa0n1d7tzu,002315,焦点科技,2026-02-03,1,50.900,51.560,51.680,50.020,69825.000,2026-02-25T05:46:16.227Z
mm1m2xpfpgntzfyht,002315,焦点科技,2026-02-04,1,51.100,48.320,51.210,47.380,156510.000,2026-02-25T05:46:16.227Z
mm1m2xpfir10surrj,002315,焦点科技,2026-02-05,1,47.750,47.800,48.560,47.620,75012.000,2026-02-25T05:46:16.227Z
mm1m2xpfs1o7nrmsu,002315,焦点科技,2026-02-06,1,47.480,47.220,48.250,46.570,61896.000,2026-02-25T05:46:16.227Z
mm1m2xpf8klvedrqz,002315,焦点科技,2026-02-09,1,48.140,48.600,48.870,47.580,83785.000,2026-02-25T05:46:16.227Z
mm1m2xpfugctlonn1,002315,焦点科技,2026-02-10,1,48.930,49.440,49.980,48.210,103816.000,2026-02-25T05:46:16.227Z
mm1m2xpfkmrm0lc05,002315,焦点科技,2026-02-11,1,49.170,48.670,49.540,48.520,56158.000,2026-02-25T05:46:16.227Z
mm1m2xpf6g597rfj5,002315,焦点科技,2026-02-12,1,48.660,49.210,49.790,48.400,60962.000,2026-02-25T05:46:16.227Z
mm1m2xpfst3g8qryu,002315,焦点科技,2026-02-13,1,48.800,47.740,49.380,47.660,79088.000,2026-02-25T05:46:16.227Z
mm1m2xpfwxifaza8l,002315,焦点科技,2026-02-24,1,48.180,44.840,48.210,44.750,159878.000,2026-02-25T05:46:16.227Z
mm1m2xpfic8rtpx2t,002315,焦点科技,2026-02-25,1,44.92,45.22,45.36,44.80,45254,2026-02-25T05:46:16.227Z
mm1m2y8bibbilstb3,688083,中望软件,2026-01-06,1,69.850,69.850,70.310,69.100,2072325.000,2026-02-25T05:46:16.907Z
mm1m2y8bdr2osoev1,688083,中望软件,2026-01-07,1,69.930,70.020,70.690,69.010,1966009.000,2026-02-25T05:46:16.907Z
mm1m2y8bax92d36uf,688083,中望软件,2026-01-08,1,72.500,71.800,73.770,71.130,4362619.000,2026-02-25T05:46:16.907Z
mm1m2y8bo9862ahni,688083,中望软件,2026-01-09,1,71.730,74.200,74.780,71.300,4629289.000,2026-02-25T05:46:16.907Z
mm1m2y8bzl7vsme9z,688083,中望软件,2026-01-12,1,74.910,82.000,82.530,74.000,7216269.000,2026-02-25T05:46:16.907Z
mm1m2y8b3s1tq7xnp,688083,中望软件,2026-01-13,1,82.130,79.000,82.510,78.150,6070568.000,2026-02-25T05:46:16.907Z
mm1m2y8b8gg6e6rbc,688083,中望软件,2026-01-14,1,81.500,79.380,83.590,77.310,6577313.000,2026-02-25T05:46:16.907Z
mm1m2y8bp7ygaxb09,688083,中望软件,2026-01-15,1,78.040,77.370,78.570,76.030,3948200.000,2026-02-25T05:46:16.907Z
mm1m2y8bsc273uivq,688083,中望软件,2026-01-16,1,77.350,77.420,78.480,76.520,3365364.000,2026-02-25T05:46:16.907Z
mm1m2y8b48j51d9e0,688083,中望软件,2026-01-19,1,77.000,75.520,77.530,75.330,2686405.000,2026-02-25T05:46:16.907Z
mm1m2y8b1o3ct8nou,688083,中望软件,2026-01-20,1,75.780,73.860,76.200,73.000,2648852.000,2026-02-25T05:46:16.907Z
mm1m2y8brtffz9vpk,688083,中望软件,2026-01-21,1,73.090,74.710,76.200,73.090,2160686.000,2026-02-25T05:46:16.907Z
mm1m2y8b2l1mkuf1u,688083,中望软件,2026-01-22,1,75.290,74.390,75.910,74.010,2005491.000,2026-02-25T05:46:16.907Z
mm1m2y8be8e94flvt,688083,中望软件,2026-01-23,1,74.520,75.220,75.880,74.330,2017209.000,2026-02-25T05:46:16.907Z
mm1m2y8bmlmx31f87,688083,中望软件,2026-01-26,1,75.390,72.850,75.590,72.070,4442597.000,2026-02-25T05:46:16.907Z
mm1m2y8byniukxa2r,688083,中望软件,2026-01-27,1,72.780,73.700,73.910,71.050,2437180.000,2026-02-25T05:46:16.907Z
mm1m2y8b7z18upcts,688083,中望软件,2026-01-28,1,73.750,72.430,74.380,71.880,2600519.000,2026-02-25T05:46:16.907Z
mm1m2y8bogcq45bba,688083,中望软件,2026-01-29,1,72.320,71.700,73.980,70.770,3365748.000,2026-02-25T05:46:16.907Z
mm1m2y8b7o2pob3ie,688083,中望软件,2026-01-30,1,71.540,69.180,71.990,69.010,3482860.000,2026-02-25T05:46:16.907Z
